data,ticker,preco_fechamento_ajustado,volume_negociado,m_6,dy
2023-01-31,CEDO3,5.69,0.0,47799060.0,0.0
2023-02-28,CEDO3,5.8,0.0,47697050.0,0.0
2023-03-31,CEDO3,5.7,570.0,47984918.0,0.0
2023-04-30,CEDO3,6.78,0.0,54706667.0,0.0
2023-05-31,CEDO3,7.8,15610.0,77785355.0,0.0
2023-06-30,CEDO3,11.34,36407.0,104685421.0,0.0
2023-07-31,CEDO3,13.5,2800.0,128560656.0,0.0
2023-08-31,CEDO3,22.0,8839.0,199823389.0,0.0
2023-09-30,CEDO3,16.0,4800.0,160000000.0,0.0
2023-10-31,CEDO3,16.99,12899.0,161743498.0,0.0
2023-11-30,CEDO3,22.77,0.0,237273158.0,0.0
2023-12-31,CEDO3,27.64,2764.0,274768700.0,0.0
2024-01-31,CEDO3,30.99,0.0,290539039.0,0.0
2024-02-29,CEDO3,26.3,7880.0,259994973.0,0.0
2024-03-31,CEDO3,35.0,63270.0,319949728.0,0.0
2024-04-30,CEDO3,30.0,3000.0,289181902.0,0.0
2024-05-31,CEDO3,30.0,0.0,289224831.0,0.0
2024-06-30,CEDO3,26.75,2675.0,248868831.0,0.0
2012-12-31,CEDO4,7.53,0.0,98366252.0,0.05790108564535586
2013-01-31,CEDO4,8.17,0.0,95707104.0,0.05333333333333333
2013-02-28,CEDO4,9.28,0.0,97772721.0,0.07894736842105263
2013-03-31,CEDO4,8.92,38382.0,96141421.0,0.06315789473684212
2013-04-30,CEDO4,8.55,0.0,93853552.0,0.06593406593406595
2013-05-31,CEDO4,8.92,950.0,99565683.0,0.06315789473684212
2013-06-30,CEDO4,8.69,5425.0,96837399.0,0.06486486486486487
2013-07-31,CEDO4,8.83,0.0,97481333.0,0.06382978723404256
2013-08-31,CEDO4,8.77,0.0,95454557.0,0.06423982869379016
2013-09-30,CEDO4,8.69,0.0,97636394.0,0.06486486486486487
2013-10-31,CEDO4,9.55,974.0,113094536.0,0.1026694045174538
2013-11-30,CEDO4,11.02,0.0,116737399.0,0.08896797153024912
2013-12-31,CEDO4,11.03,0.0,116780328.0,0.06222222222222222
2014-01-31,CEDO4,11.03,0.0,113926776.0,0.06222222222222222
2014-02-28,CEDO4,10.89,0.0,113282842.0,0.036036036036036036
2014-03-31,CEDO4,11.0,1100.0,110000000.0,0.05454545454545456
2014-04-30,CEDO4,10.65,0.0,109638907.0,0.05633802816901409
2014-05-31,CEDO4,10.47,0.0,110007607.0,0.05730659025787966
2014-06-30,CEDO4,9.94,0.0,107732372.0,0.06036217303822939
2014-07-31,CEDO4,9.89,0.0,107517727.0,0.06066734074823054
2014-08-31,CEDO4,9.5,2850.0,114917793.0,0.06315789473684212
2014-09-30,CEDO4,10.61,1061.0,119682908.0,0.056550424128180975
2014-10-31,CEDO4,10.61,0.0,119682908.0,0.056550424128180975
2014-11-30,CEDO4,9.02,3863.0,96192459.0,0.022172949002217297
2014-12-31,CEDO4,9.69,969.0,89537836.0,0.020639834881320953
2015-01-31,CEDO4,9.75,0.0,93219672.0,0.020512820512820513
2015-02-28,CEDO4,9.75,0.0,93219672.0,0.020512820512820513
